returns,vendors,year-month
-1,google,2005-01
-1,interloper,2005-01
-1,allweb,2005-02
-1,google,2005-02
-1,,2005-03
-1,vendor,2005-03
-1,google,2005-03
-1,allweb,2005-04
-7,,2005-04
-1,google,2005-04
-1,online ad,2005-05
-1,vendor,2005-05
-7,,2005-05
-6,google,2005-05
-1,friend,2005-05
-2,ebay,2005-05
-2,ebay,2005-06
-3,,2005-06
-1,yahoo,2005-06
-1,allweb,2005-06
-2,msn,2005-06
-4,google,2005-06
-5,google,2005-07
-2,msn,2005-07
-1,,2005-07
-1,allweb,2005-07
-2,friend,2005-07
-2,brokerbin,2005-08
-7,msn,2005-08
-5,,2005-08
-2,other,2005-08
-4,google,2005-08
-3,ebay,2005-08
-5,,2005-09
-1,yahoo,2005-09
-1,online ad,2005-09
-4,allweb,2005-09
-8,google,2005-09
-1,copernic,2005-09
-10,ebay,2005-09
-8,google,2005-10
-2,yahoo,2005-10
-1,aol,2005-10
-31,,2005-10
-1,other,2005-10
-4,ebay,2005-10
-2,allweb,2005-10
-17,allweb,2005-11
-4,google,2005-11
-2,,2005-11
-2,yahoo,2005-11
-1,other,2005-11
-12,ebay,2005-11
-1,friend,2005-12
-7,allweb,2005-12
-3,return customer,2005-12
-11,ebay,2005-12
-3,yahoo,2005-12
-1,aol,2005-12
-4,other,2005-12
-80,google,2005-12
-6,,2005-12
-1,brokerbin,2005-12
-1,copernic,2005-12
-1,brokerbin,2006-01
-18,google,2006-01
-1,other,2006-01
-3,return customer,2006-01
-16,allweb,2006-01
-15,ebay,2006-01
-1,friend,2006-01
-4,,2006-01
-1,pricewatch,2006-01
-2,interloper,2006-01
-1,pricewatch,2006-02
-12,google,2006-02
-1,return customer,2006-02
-12,ebay,2006-02
-12,,2006-02
-2,other,2006-02
-3,allweb,2006-02
-2,vendor,2006-02
-16,friend,2006-02
-11,ebay,2006-03
-4,vendor,2006-03
-6,google,2006-03
-17,friend,2006-03
-2,allweb,2006-03
-19,,2006-03
-25,ebay,2006-04
-7,allweb,2006-04
-7,google,2006-04
-2,vendor,2006-04
-1,brokerbin,2006-04
-1,return customer,2006-04
-2,friend,2006-04
-23,,2006-04
-4,altavista,2006-04
-1,excite,2006-05
-4,dogpile,2006-05
-8,ebay,2006-05
-2,yahoo,2006-05
-5,google,2006-05
-1,brokerbin,2006-05
-12,,2006-05
-1,allweb,2006-05
-1,ebay,2006-06
-1,excite,2006-06
-2,friend,2006-06
-2,yahoo,2006-06
-31,,2006-06
-11,google,2006-06
-16,,2006-07
-7,google,2006-07
-1,friend,2006-07
-8,ebay,2006-07
-2,vendor,2006-07
-2,webferret,2006-08
-1,vendor,2006-08
-10,google,2006-08
-6,yahoo,2006-08
-17,,2006-08
-6,ebay,2006-08
-9,,2006-09
-8,ebay,2006-09
-1,msn,2006-09
-6,google,2006-09
-2,yahoo,2006-09
-2,allweb,2006-09
-2,interloper,2006-09
-6,ebay,2006-10
-3,google,2006-10
-2,yahoo,2006-10
-2,,2006-10
-1,msn,2006-10
-6,allweb,2006-10
-4,google,2006-11
-1,allweb,2006-11
-4,,2006-11
-5,ebay,2006-11
-4,google,2006-12
-1,,2006-12
-3,ebay,2006-12
-4,yahoo,2006-12
-3,,2007-01
-2,yahoo,2007-01
-8,google,2007-01
-8,ebay,2007-01
-4,allweb,2007-01
-5,google,2007-02
-3,ebay,2007-02
-1,,2007-02
-2,yahoo,2007-03
-1,brokerbin,2007-03
-27,google,2007-03
-1,,2007-03
-1,ebay,2007-03
-2,dogpile,2007-03
-5,allweb,2007-03
-20,google,2007-04
-2,allweb,2007-04
-6,ebay,2007-04
-2,interloper,2007-04
-1,,2007-04
-2,dogpile,2007-04
-31,google,2007-05
-1,askjeeves,2007-05
-8,,2007-05
-1,ebay,2007-05
-3,allweb,2007-05
-2,ebay,2007-06
-81,google,2007-06
-1,askjeeves,2007-06
-10,,2007-06
-1,yahoo,2007-07
-1,,2007-07
-4,ebay,2007-07
-2,allweb,2007-08
-2,yahoo,2007-08
-1,brokerbin,2007-08
-2,,2007-08
-2,brokerbin,2007-09
-2,friend,2007-09
-1,other,2007-09
-5,,2007-09
-2,google,2007-09
-4,yahoo,2007-10
-4,google,2007-10
-2,altavista,2007-10
-7,,2007-10
-2,other,2007-10
-1,msn,2007-10
-1,msn,2007-11
-3,yahoo,2007-11
-2,ebay,2007-11
-2,google,2007-11
-9,,2007-11
-2,google,2007-12
-1,friend,2007-12
-1,ebay,2007-12
-1,ebay,2008-01
-1,return customer,2008-01
-1,friend,2008-01
-55,,2008-01
-6,google,2008-02
-2,allweb,2008-02
-1,other,2008-02
-1,return customer,2008-02
-8,,2008-02
-4,google,2008-03
-1,ebay,2008-03
-2,other,2008-03
-2,allweb,2008-03
-48,,2008-03
-4,ebay,2008-04
-2,,2008-04
-2,google,2008-04
-5,ebay,2008-05
-2,,2008-05
-5,,2008-06
-4,ebay,2008-06
-4,friend,2008-06
-1,google,2008-06
-12,,2008-07
-1,allweb,2008-07
-20,msn,2008-07
-2,yahoo,2008-07
-1,google,2008-08
-14,,2008-08
-2,yahoo,2008-08
-2,interloper,2008-08
-1,allweb,2008-08
-2,amazon,2008-09
-1,allweb,2008-09
-1,yahoo,2008-09
-3,google,2008-09
-9,,2008-09
-1,ebay,2008-09
-2,,2008-10
-1,ebay,2008-10
-4,friend,2008-10
-4,brokerbin,2008-10
-2,yahoo,2008-10
-2,allweb,2008-10
-1,google,2008-10
-1,interloper,2008-11
-5,,2008-11
-4,brokerbin,2008-11
-1,allweb,2008-12
-2,ebay,2008-12
-1,amazon,2008-12
-1,yahoo,2008-12
-2,,2008-12
-1,interloper,2009-01
-1,google,2009-01
-7,google,2009-02
-1,yahoo,2009-02
-1,vendor,2009-02
-1,amazon,2009-02
-1,yahoo,2009-03
-1,,2009-03
-1,allweb,2009-03
-6,google,2009-03
-4,ebay,2009-03
-6,other,2009-04
-1,vendor,2009-04
-1,ebay,2009-05
-3,other,2009-05
-1,,2009-05
-1,ebay,2009-06
-14,,2009-06
-1,google,2009-06
-3,ebay,2009-07
-1,google,2009-07
-15,,2009-07
-2,allweb,2009-07
-3,ebay,2009-08
-1,google,2009-08
-7,,2009-08
-2,ebay,2009-09
-1,,2009-09
-1,google,2009-09
-1,allweb,2009-09
-4,ebay,2009-10
-4,,2009-10
-2,google,2009-10
-1,ebay,2009-11
-3,,2009-11
-1,google,2009-12
-5,ebay,2009-12
-2,,2009-12
-2,yahoo,2010-01
-1,ebay,2010-01
-1,ebay,2010-02
-1,google,2010-02
-2,brokerbin,2010-02
-1,msn,2010-02
-1,msn,2010-03
-3,google,2010-03
-2,,2010-03
-1,allweb,2010-04
-3,ebay,2010-04
-3,,2010-04
-2,brokerbin,2010-04
-3,brokerbin,2010-05
-1,allweb,2010-05
-3,ebay,2010-05
-1,google,2010-05
-2,,2010-05
-1,brokerbin,2010-06
-1,,2010-06
-4,ebay,2010-06
-4,google,2010-06
-2,google,2010-07
-1,brokerbin,2010-07
-5,,2010-07
-4,ebay,2010-07
-5,ebay,2010-08
-1,google,2010-08
-1,brokerbin,2010-08
-2,,2010-08
-3,ebay,2010-09
-4,google,2010-09
-1,google,2010-10
-2,,2010-10
-4,brokerbin,2010-10
-5,,2010-11
-2,google,2010-11
-1,brokerbin,2010-11
-1,yahoo,2010-11
-1,yahoo,2010-12
-17,,2010-12
-2,google,2010-12
-1,allweb,2010-12
-1,brokerbin,2010-12
-2,google,2011-01
-1,,2011-01
-2,google,2011-02
-1,,2011-02
-2,ebay,2011-03
-2,msn,2011-03
-15,,2011-03
-1,brokerbin,2011-03
-3,google,2011-03
-1,allweb,2011-03
-1,brokerbin,2011-04
-1,,2011-04
-3,google,2011-04
-4,msn,2011-04
-2,yahoo,2011-05
-3,,2011-05
-3,google,2011-05
-3,brokerbin,2011-05
-2,google,2011-06
-1,brokerbin,2011-06
-2,google,2011-07
-2,google,2011-08
-2,brokerbin,2011-08
-1,,2011-08
-2,brokerbin,2011-09
-3,,2011-09
-3,ebay,2011-09
-2,google,2011-09
-2,yahoo,2011-09
-7,google,2011-10
-3,ebay,2011-10
-4,google,2011-11
-2,,2011-11
-5,google,2011-12
-1,google,2012-02
-2,other,2012-02
-1,brokerbin,2012-03
-1,google,2012-03
-1,,2012-03
-1,blog ad,2012-04
-1,brokerbin,2012-04
-1,ebay,2012-04
-5,allweb,2012-04
-3,,2012-04
-5,google,2012-05
-1,blog ad,2012-05
-8,,2012-05
-3,ebay,2012-05
-1,allweb,2012-05
-4,twitter,2012-05
-25,google,2012-06
-3,ebay,2012-06
-4,brokerbin,2012-06
-2,yahoo,2012-06
-3,,2012-06
-4,,2012-07
-3,ebay,2012-07
-2,google,2012-07
-4,brokerbin,2012-07
-4,ebay,2012-08
-2,,2012-08
-2,google,2012-08
-1,,2012-09
-2,ebay,2012-09
-3,ebay,2012-10
-1,yahoo,2012-10
-1,yahoo,2012-11
-1,google,2012-11
-4,ebay,2012-11
-2,,2012-11
-2,,2012-12
-9,ebay,2012-12
-1,google,2012-12
-7,ebay,2013-01
-1,,2013-01
-6,google,2013-01
-9,google,2013-02
-3,,2013-02
-1,allweb,2013-02
-6,ebay,2013-02
-2,friend,2013-03
-10,ebay,2013-03
-3,,2013-03
-10,google,2013-04
-2,,2013-04
-10,ebay,2013-04
-2,friend,2013-04
-1,google,2013-05
-3,,2013-05
-2,odesk,2013-05
-1,allweb,2013-05
-16,ebay,2013-05
-7,ebay,2013-06
-6,,2013-06
-1,google,2013-06
-2,odesk,2013-06
-1,odesk,2013-07
-3,,2013-07
-21,ebay,2013-07
-14,ebay,2013-08
-1,odesk,2013-08
-3,,2013-08
-2,Shopzilla,2013-08
-3,ebay,2013-09
-3,ebay,2013-10
-1,google,2013-10
-1,google,2013-11
-1,ebay,2013-11
-5,ebay,2013-12
-2,allweb,2013-12
-6,odesk,2013-12
-1,odesk,2014-01
-7,ebay,2014-01
-6,ebay,2014-02
-6,ebay,2014-03
-2,odesk,2014-03
-1,odesk,2014-04
-54,ebay,2014-04
-83,ebay,2014-05
-9,google,2014-05
-1,,2014-06
-18,ebay,2014-06
-1,google,2014-06
-8,ebay,2014-07
-1,,2014-07
-1,google,2014-08
-4,ebay,2014-08
-2,bing,2014-08
-17,ebay,2014-09
-12,interloper,2014-09
-8,google,2014-09
-1,google,2014-10
-11,ebay,2014-10
-1,elance,2014-10
-3,google,2014-11
-1,,2014-11
-1,ebay,2014-11
-1,elance,2014-11
-12,online ad,2014-12
-2,ebay,2014-12
-2,ebay,2015-01
-9,ebay,2015-02
-1,friend,2015-02
-6,online ad,2015-02
-1,,2015-02
-2,google,2015-03
-1,friend,2015-03
-7,ebay,2015-03
-1,friend,2015-04
-7,ebay,2015-04
-4,ebay,2015-05
-4,google,2015-06
-1,elance,2015-06
-1,elance,2015-07
-2,elance,2015-10
-2,amazon,2015-11
-2,ebay,2015-11
-1,,2015-11
-1,,2015-12
-4,friend,2015-12
-2,ebay,2015-12
-2,ebay,2016-01
-2,amazon,2016-03
-4,,2016-03
-2,brokerbin,2016-04
-1,interloper,2016-04
-1,,2016-05
-4,ebay,2016-05
-7,ebay,2016-06
-1,,2016-06
-1,interloper,2016-06
-2,ebay,2016-07
-9,ebay,2016-08
-1,amazon,2016-08
-3,ebay,2016-09
-1,amazon,2016-09
-2,,2016-09
-3,ebay,2016-10
-9,amazon,2016-10
-12,amazon,2016-11
-3,ebay,2016-11
-1,yellowpage,2016-11
-8,amazon,2016-12
-7,ebay,2016-12
-13,ebay,2017-01
-6,amazon,2017-01
-1,yellowpage,2017-02
-5,ebay,2017-02
-4,amazon,2017-02
-3,ebay,2017-03
-3,amazon,2017-03
-1,ebay,2017-04
-2,amazon,2017-04
-2,freelancer,2017-05
-7,ebay,2017-05
-2,amazon,2017-05
-15,ebay,2017-06
-2,ebay,2017-07
-1,webferret,2017-08
-1,odesk,2017-08
-16,ebay,2017-08
-3,amazon,2017-08
-12,ebay,2017-09
-1,amazon,2017-09
-1,webferret,2017-09
-1,odesk,2017-09
-2,,2017-10
-2,ebay,2017-10
-4,amazon,2017-11
-8,ebay,2017-11
-4,ebay,2017-12
-5,amazon,2017-12
-5,amazon,2018-01
-7,ebay,2018-01
-2,amazon,2018-02
-7,ebay,2018-02
-4,walmart,2018-03
-4,google,2018-03
-24,amazon,2018-03
-17,ebay,2018-03
-2,,2018-04
-55,amazon,2018-04
-14,ebay,2018-04
-2,google,2018-04
-13,ebay,2018-05
-18,amazon,2018-05
-2,,2018-05
-6,ebay,2018-06
-2,amazon,2018-06
-12,ebay,2018-07
-45,amazon,2018-07
-13,amazon,2018-08
-3,walmart,2018-08
-5,ebay,2018-08
-3,walmart,2018-09
-2,,2018-09
-27,amazon,2018-09
-7,ebay,2018-09
-1,allweb,2018-09
-1,allweb,2018-10
-34,amazon,2018-10
-4,walmart,2018-10
-10,ebay,2018-10
-31,amazon,2018-11
-1,ebay,2018-11
-21,walmart,2018-11
-2,,2018-11
-12,walmart,2018-12
-26,amazon,2018-12
-25,amazon,2019-01
-4,walmart,2019-01
-3,google,2019-01
-3,ebay,2019-01
-4,walmart,2019-02
-4,amazon,2019-02
-4,ebay,2019-02
-3,google,2019-02
-12,amazon,2019-03
-3,walmart,2019-03
-2,ebay,2019-03
-2,amazon,2019-04
-8,ebay,2019-04
-7,walmart,2019-04
-5,ebay,2019-05
-3,walmart,2019-05
-4,walmart,2019-06
-2,ebay,2019-06
-5,ebay,2019-07
-4,walmart,2019-07
-2,twitter,2019-07
-2,walmart,2019-08
-4,ebay,2019-08
-4,,2019-08
-3,,2019-09
-2,ebay,2019-09
-1,walmart,2019-09
-8,walmart,2019-10
-4,other,2019-10
-8,ebay,2019-10
-2,google,2019-10
-3,,2019-10
-6,ebay,2019-11
-11,walmart,2019-11
-4,,2019-11
-5,ebay,2019-12
-7,walmart,2019-12
-10,,2019-12
-8,,2020-01
-1,walmart,2020-01
-5,ebay,2020-01
-1,ebay,2020-02
-6,,2020-02
-3,walmart,2020-02
-3,ebay,2020-03
-11,walmart,2020-03
-4,,2020-03
-9,ebay,2020-04
-32,walmart,2020-04
-22,,2020-04
-12,,2020-05
-16,ebay,2020-05
-9,walmart,2020-05
-20,,2020-06
-20,ebay,2020-06
-15,walmart,2020-06
-160,,2020-07
-8,ebay,2020-07
-5,walmart,2020-07
-13,walmart,2020-08
-2,mercari,2020-08
-4,,2020-08
-9,ebay,2020-08
-6,walmart,2020-09
-4,,2020-09
-13,ebay,2020-09
-5,,2020-10
-12,walmart,2020-10
-7,ebay,2020-10
-28,walmart,2020-11
-1,,2020-11
-10,ebay,2020-11
-10,ebay,2020-12
-2,poshmark,2020-12
-38,walmart,2020-12
-6,,2020-12
-20,ebay,2021-01
-7,,2021-01
-19,walmart,2021-01
-2,sears,2021-01
-2,poshmark,2021-01
-12,ebay,2021-02
-10,walmart,2021-02
-10,ebay,2021-03
-8,walmart,2021-03
-3,poshmark,2021-03
-8,ebay,2021-04
-2,tradesy,2021-04
-82,walmart,2021-04
-3,poshmark,2021-04
-7,walmart,2021-05
-4,ebay,2021-05
-9,walmart,2021-06
-2,poshmark,2021-06
-9,ebay,2021-06
-5,poshmark,2021-07
-9,ebay,2021-07
-1,tradesy,2021-07
-7,walmart,2021-07
-8,walmart,2021-08
-9,ebay,2021-08
-1,poshmark,2021-08
-4,,2021-08
-1,tradesy,2021-08
-20,walmart,2021-09
-11,ebay,2021-09
-5,,2021-09
-42,ebay,2021-10
-2,sears,2021-10
-3,,2021-10
-11,walmart,2021-10
-2,poshmark,2021-10
-5,,2021-11
-18,ebay,2021-11
-2,sears,2021-11
-12,walmart,2021-11
-18,ebay,2021-12
-7,,2021-12
-36,walmart,2021-12
-8,,2022-01
-2,twitter,2022-01
-10,ebay,2022-01
-25,walmart,2022-01
-15,ebay,2022-02
-2,poshmark,2022-02
-9,walmart,2022-02
-11,,2022-02
-8,,2022-03
-1,shoptique,2022-03
-26,walmart,2022-03
-11,ebay,2022-03
-1,poshmark,2022-03
-1,poshmark,2022-04
-21,ebay,2022-04
-10,,2022-04
-5,shoptique,2022-04
-15,walmart,2022-04
-36,ebay,2022-05
-13,,2022-05
-10,walmart,2022-05
-2,shoptique,2022-06
-39,walmart,2022-06
-14,ebay,2022-06
-14,,2022-06
-20,walmart,2022-07
-11,ebay,2022-07
-32,,2022-07
-2,shoptique,2022-07
-7,walmart,2022-08
-16,ebay,2022-08
-14,,2022-08
-1,poshmark,2022-08
-6,shoptique,2022-09
-22,walmart,2022-09
-22,,2022-09
-35,ebay,2022-09
-3,poshmark,2022-09
-2,poshmark,2022-10
-2,shoptique,2022-10
-32,ebay,2022-10
-8,walmart,2022-10
-11,,2022-10
-27,ebay,2022-11
-14,,2022-11
-23,walmart,2022-11
-1,shoptique,2022-11
-6,poshmark,2022-11
-5,shoptique,2022-12
-19,walmart,2022-12
-5,poshmark,2022-12
-27,ebay,2022-12
-16,,2022-12
-1,poshmark,2023-01
-8,,2023-01
-4,shoptique,2023-01
-26,ebay,2023-01
-18,walmart,2023-01
-11,,2023-02
-3,shoptique,2023-02
-2,poshmark,2023-02
-24,ebay,2023-02
-29,walmart,2023-02
-16,walmart,2023-03
-9,,2023-03
-2,poshmark,2023-03
-19,ebay,2023-03
-4,shoptique,2023-03
-10,ebay,2023-04
-1,poshmark,2023-04
-5,,2023-04
-26,walmart,2023-04
-14,walmart,2023-05
-4,,2023-05
-1,poshmark,2023-05
-17,ebay,2023-05
-6,shoptique,2023-05
-4,walmart,2023-06
-32,,2023-06
-10,ebay,2023-06
-3,shoptique,2023-06
-30,,2023-07
-1,walmart,2023-07
-5,ebay,2023-07